----------------------------------------------------------------------------------------------------------------
|        Flight no.         |       Separate with       |       Separate date       |       Separate time       |
|          XEO724           |          BEF163,          |        19-04-2018         |         16:47:31          |
|          XYK550           |          SOM086,          |        19-04-2018         |         16:48:02          |
|          SOM086           |          XYK550,          |        19-04-2018         |         16:48:02          |
|          USB606           |          OEC703,          |        19-04-2018         |         16:50:59          |
|          OEC703           |          USB606,          |        19-04-2018         |         16:50:59          |
|          CLD226           |          VPF064,          |        19-04-2018         |         16:51:35          |
|          VPF064           |          CLD226,          |        19-04-2018         |         16:51:35          |
|          CLD226           |          VPF064,          |        19-04-2018         |         16:51:36          |
|          VPF064           |          CLD226,          |        19-04-2018         |         16:51:36          |
|          CLD226           |          VPF064,          |        19-04-2018         |         16:51:37          |
|          VPF064           |          CLD226,          |        19-04-2018         |         16:51:37          |
|          RSI773           |          YIP502,          |        19-04-2018         |         16:52:08          |
|          YIP502           |          RSI773,          |        19-04-2018         |         16:52:08          |
|          RSI773           |          YIP502,          |        19-04-2018         |         16:52:09          |
|          YIP502           |          RSI773,          |        19-04-2018         |         16:52:09          |
|          UXR121           |          GWE106,          |        19-04-2018         |         16:52:48          |
|          GWE106           |          UXR121,          |        19-04-2018         |         16:52:48          |
|          LIQ168           |          VPF064,          |        19-04-2018         |         16:52:56          |
|          VPF064           |      CLD226,LIQ168,       |        19-04-2018         |         16:52:56          |
|          RSI773           |          YIP502,          |        19-04-2018         |         16:52:56          |
|          YIP502           |          RSI773,          |        19-04-2018         |         16:52:56          |
|          VPF064           |          CLD226,          |        19-04-2018         |         16:51:37          |
|          VPF064           |          CLD226,          |        19-04-2018         |         16:51:37          |
|          MUV430           |          TVC618,          |        19-04-2018         |         16:53:41          |
|          TVC618           |          MUV430,          |        19-04-2018         |         16:53:41          |
|          HJV335           |          XNP852,          |        19-04-2018         |         16:53:47          |
|          IHA166           |          HKQ475,          |        19-04-2018         |         16:53:47          |
|          HKQ475           |          IHA166,          |        19-04-2018         |         16:53:47          |
|          XNP852           |          HJV335,          |        19-04-2018         |         16:53:47          |
|          HJV335           |          XNP852,          |        19-04-2018         |         16:53:47          |
|          XNP852           |          HJV335,          |        19-04-2018         |         16:53:47          |
|          HJV335           |          XNP852,          |        19-04-2018         |         16:53:48          |
|          XNP852           |          HJV335,          |        19-04-2018         |         16:53:48          |
|          NRK014           |          MLK433,          |        19-04-2018         |         16:54:44          |
|          MLK433           |          NRK014,          |        19-04-2018         |         16:54:44          |
|          NRK014           |          MLK433,          |        19-04-2018         |         16:54:45          |
|          MLK433           |          NRK014,          |        19-04-2018         |         16:54:45          |
|          UDW061           |          TWT705,          |        19-04-2018         |         16:55:25          |
|          TWT705           |          UDW061,          |        19-04-2018         |         16:55:25          |
|          WTK282           |          STN884,          |        19-04-2018         |         16:55:56          |
|          STN884           |          WTK282,          |        19-04-2018         |         16:55:56          |
|          KGV427           |          TWT705,          |        19-04-2018         |         16:56:04          |
|          TWT705           |          KGV427,          |        19-04-2018         |         16:56:04          |
